case_id,baseline_answer_relevancy,rag_answer_relevancy,rag_faithfulness,rag_context_utilization,citation_present,self_verified_ratio,latency_delta_ms,metric_errors
Q01,0.795598776891147,0.5453058215504659,0.5,0.9999999999,True,1.0,-31970.52,{}
Q02,0.6101195935634756,0.4856978971109487,,,False,,-23622.449999999997,{}
Q03,,0.437334104225409,0.8571428571428571,0.9999999999,True,0.0,-48078.21,{}
Q04,0.8559466174419454,0.7770102615757793,1.0,0.9999999999666667,True,1.0,-33107.43,{}
Q05,0.5514113583808236,0.4173870896392826,,,False,,-37877.32,{}
Q06,0.8344034840484387,0.40410598631802497,0.875,0.99999999995,True,1.0,-5782.629999999999,{}
Q07,0.6829137443875953,0.76715086406836,0.8,0.9999999999666667,True,1.0,-28044.35,{}
Q08,0.5839555871742644,0.402901614353207,1.0,0.9999999999666667,True,1.0,-34610.54,{}
Q09,0.6158933857552937,0.0,0.75,0.0,True,0.0,-38345.82,{}
Q10,0.6288919578181855,0.6342305248647458,,,False,,-15648.640000000001,{}
Q11,0.7279747952087509,0.6196429245026357,,,False,,-352.6100000000006,{}
Q12,0.6847196893496873,0.6871175395454859,,,False,,-22766.479999999996,{}
Q13,0.8562603650136333,0.0,0.6666666666666666,0.9999999999,True,0.0,-26109.07,{}
Q14,0.6692386524464973,0.701638296035739,,,False,,4782.260000000001,{}
Q15,0.6575511590726668,0.7239482243533185,,,False,,-45601.16,{}
